episode_id,paired_destination_id,shift_type,shift_minutes,duration_minutes,destination_start,destination_end,source_start,source_end,quarter,daypart,is_weekend,fold,split,seed,source_valid,destination_valid,p_context_valid,h_context_valid,post_context_valid,selected,rejection_reason,manifest_version,manifest_hash
D120_000_DAILY,D120_000,DAILY,1440,120,2009-06-26 06:30:00,2009-06-26 08:30:00,2009-06-25 06:30:00,2009-06-25 08:30:00,2,mañana,False,FINAL_CAL_POOL_180,pretest,20260801,True,True,True,True,True,True,,2,6e0c7805127172dbad691a941f5715a99b8d99eebfaba94843cd4213497bc822
D120_000_WEEKLY,D120_000,WEEKLY,10080,120,2009-06-26 06:30:00,2009-06-26 08:30:00,2009-06-19 06:30:00,2009-06-19 08:30:00,2,mañana,False,FINAL_CAL_POOL_180,pretest,20260801,True,True,True,True,True,True,,2,6e0c7805127172dbad691a941f5715a99b8d99eebfaba94843cd4213497bc822
D120_001_DAILY,D120_001,DAILY,1440,120,2009-07-06 02:17:00,2009-07-06 04:17:00,2009-07-05 02:17:00,2009-07-05 04:17:00,3,madrugada,False,FINAL_CAL_POOL_180,pretest,20260801,True,True,True,True,True,True,,2,6e0c7805127172dbad691a941f5715a99b8d99eebfaba94843cd4213497bc822
D120_001_WEEKLY,D120_001,WEEKLY,10080,120,2009-07-06 02:17:00,2009-07-06 04:17:00,2009-06-29 02:17:00,2009-06-29 04:17:00,3,madrugada,False,FINAL_CAL_POOL_180,pretest,20260801,True,True,True,True,True,True,,2,6e0c7805127172dbad691a941f5715a99b8d99eebfaba94843cd4213497bc822
D120_002_DAILY,D120_002,DAILY,1440,120,2009-11-17 21:24:00,2009-11-17 23:24:00,2009-11-16 21:24:00,2009-11-16 23:24:00,4,noche,False,FINAL_CAL_POOL_180,pretest,20260801,True,True,True,True,True,True,,2,6e0c7805127172dbad691a941f5715a99b8d99eebfaba94843cd4213497bc822
D120_002_WEEKLY,D120_002,WEEKLY,10080,120,2009-11-17 21:24:00,2009-11-17 23:24:00,2009-11-10 21:24:00,2009-11-10 23:24:00,4,noche,False,FINAL_CAL_POOL_180,pretest,20260801,True,True,True,True,True,True,,2,6e0c7805127172dbad691a941f5715a99b8d99eebfaba94843cd4213497bc822
D120_003_DAILY,D120_003,DAILY,1440,120,2009-06-28 01:04:00,2009-06-28 03:04:00,2009-06-27 01:04:00,2009-06-27 03:04:00,2,madrugada,True,FINAL_CAL_POOL_180,pretest,20260801,True,True,True,True,True,True,,2,6e0c7805127172dbad691a941f5715a99b8d99eebfaba94843cd4213497bc822
D120_003_WEEKLY,D120_003,WEEKLY,10080,120,2009-06-28 01:04:00,2009-06-28 03:04:00,2009-06-21 01:04:00,2009-06-21 03:04:00,2,madrugada,True,FINAL_CAL_POOL_180,pretest,20260801,True,True,True,True,True,True,,2,6e0c7805127172dbad691a941f5715a99b8d99eebfaba94843cd4213497bc822
D120_004_DAILY,D120_004,DAILY,1440,120,2009-07-23 07:02:00,2009-07-23 09:02:00,2009-07-22 07:02:00,2009-07-22 09:02:00,3,mañana,False,FINAL_CAL_POOL_180,pretest,20260801,True,True,True,True,True,True,,2,6e0c7805127172dbad691a941f5715a99b8d99eebfaba94843cd4213497bc822
D120_004_WEEKLY,D120_004,WEEKLY,10080,120,2009-07-23 07:02:00,2009-07-23 09:02:00,2009-07-16 07:02:00,2009-07-16 09:02:00,3,mañana,False,FINAL_CAL_POOL_180,pretest,20260801,True,True,True,True,True,True,,2,6e0c7805127172dbad691a941f5715a99b8d99eebfaba94843cd4213497bc822
D120_005_DAILY,D120_005,DAILY,1440,120,2009-11-28 17:53:00,2009-11-28 19:53:00,2009-11-27 17:53:00,2009-11-27 19:53:00,4,tarde,True,FINAL_CAL_POOL_180,pretest,20260801,True,True,True,True,True,True,,2,6e0c7805127172dbad691a941f5715a99b8d99eebfaba94843cd4213497bc822
D120_005_WEEKLY,D120_005,WEEKLY,10080,120,2009-11-28 17:53:00,2009-11-28 19:53:00,2009-11-21 17:53:00,2009-11-21 19:53:00,4,tarde,True,FINAL_CAL_POOL_180,pretest,20260801,True,True,True,True,True,True,,2,6e0c7805127172dbad691a941f5715a99b8d99eebfaba94843cd4213497bc822
D120_006_DAILY,D120_006,DAILY,1440,120,2009-06-26 15:42:00,2009-06-26 17:42:00,2009-06-25 15:42:00,2009-06-25 17:42:00,2,tarde,False,FINAL_CAL_POOL_180,pretest,20260801,True,True,True,True,True,True,,2,6e0c7805127172dbad691a941f5715a99b8d99eebfaba94843cd4213497bc822
