episode_id,paired_destination_id,shift_type,shift_minutes,duration_minutes,destination_start,destination_end,source_start,source_end,quarter,daypart,is_weekend,fold,split,seed,source_valid,destination_valid,p_context_valid,h_context_valid,post_context_valid,selected,rejection_reason,manifest_version,manifest_hash
D120_000_DAILY,D120_000,DAILY,1440,120,2009-06-29 03:34:00,2009-06-29 05:34:00,2009-06-28 03:34:00,2009-06-28 05:34:00,2,madrugada,False,FINAL_CAL_POOL_180,pretest,20260801,True,True,True,True,True,True,,1,2ea8c352f733f8f7541e4578ac945fbc4b4ce8aa87b184b54c6152614bfa9fa5
D120_000_WEEKLY,D120_000,WEEKLY,10080,120,2009-06-29 03:34:00,2009-06-29 05:34:00,2009-06-22 03:34:00,2009-06-22 05:34:00,2,madrugada,False,FINAL_CAL_POOL_180,pretest,20260801,True,True,True,True,True,True,,1,2ea8c352f733f8f7541e4578ac945fbc4b4ce8aa87b184b54c6152614bfa9fa5
D120_001_DAILY,D120_001,DAILY,1440,120,2009-07-13 10:20:00,2009-07-13 12:20:00,2009-07-12 10:20:00,2009-07-12 12:20:00,3,mañana,False,FINAL_CAL_POOL_180,pretest,20260801,True,True,True,True,True,True,,1,2ea8c352f733f8f7541e4578ac945fbc4b4ce8aa87b184b54c6152614bfa9fa5
D120_001_WEEKLY,D120_001,WEEKLY,10080,120,2009-07-13 10:20:00,2009-07-13 12:20:00,2009-07-06 10:20:00,2009-07-06 12:20:00,3,mañana,False,FINAL_CAL_POOL_180,pretest,20260801,True,True,True,True,True,True,,1,2ea8c352f733f8f7541e4578ac945fbc4b4ce8aa87b184b54c6152614bfa9fa5
D120_002_DAILY,D120_002,DAILY,1440,120,2009-12-11 05:31:00,2009-12-11 07:31:00,2009-12-10 05:31:00,2009-12-10 07:31:00,4,madrugada,False,FINAL_CAL_POOL_180,pretest,20260801,True,True,True,True,True,True,,1,2ea8c352f733f8f7541e4578ac945fbc4b4ce8aa87b184b54c6152614bfa9fa5
D120_002_WEEKLY,D120_002,WEEKLY,10080,120,2009-12-11 05:31:00,2009-12-11 07:31:00,2009-12-04 05:31:00,2009-12-04 07:31:00,4,madrugada,False,FINAL_CAL_POOL_180,pretest,20260801,True,True,True,True,True,True,,1,2ea8c352f733f8f7541e4578ac945fbc4b4ce8aa87b184b54c6152614bfa9fa5
D120_003_DAILY,D120_003,DAILY,1440,120,2009-06-28 12:06:00,2009-06-28 14:06:00,2009-06-27 12:06:00,2009-06-27 14:06:00,2,tarde,True,FINAL_CAL_POOL_180,pretest,20260801,True,True,True,True,True,True,,1,2ea8c352f733f8f7541e4578ac945fbc4b4ce8aa87b184b54c6152614bfa9fa5
D120_003_WEEKLY,D120_003,WEEKLY,10080,120,2009-06-28 12:06:00,2009-06-28 14:06:00,2009-06-21 12:06:00,2009-06-21 14:06:00,2,tarde,True,FINAL_CAL_POOL_180,pretest,20260801,True,True,True,True,True,True,,1,2ea8c352f733f8f7541e4578ac945fbc4b4ce8aa87b184b54c6152614bfa9fa5
D120_004_DAILY,D120_004,DAILY,1440,120,2009-12-08 23:51:00,2009-12-09 01:51:00,2009-12-07 23:51:00,2009-12-08 01:51:00,4,noche,False,FINAL_CAL_POOL_180,pretest,20260801,True,True,True,True,True,True,,1,2ea8c352f733f8f7541e4578ac945fbc4b4ce8aa87b184b54c6152614bfa9fa5
D120_004_WEEKLY,D120_004,WEEKLY,10080,120,2009-12-08 23:51:00,2009-12-09 01:51:00,2009-12-01 23:51:00,2009-12-02 01:51:00,4,noche,False,FINAL_CAL_POOL_180,pretest,20260801,True,True,True,True,True,True,,1,2ea8c352f733f8f7541e4578ac945fbc4b4ce8aa87b184b54c6152614bfa9fa5
D120_005_DAILY,D120_005,DAILY,1440,120,2009-08-02 09:33:00,2009-08-02 11:33:00,2009-08-01 09:33:00,2009-08-01 11:33:00,3,mañana,True,FINAL_CAL_POOL_180,pretest,20260801,True,True,True,True,True,True,,1,2ea8c352f733f8f7541e4578ac945fbc4b4ce8aa87b184b54c6152614bfa9fa5
D120_005_WEEKLY,D120_005,WEEKLY,10080,120,2009-08-02 09:33:00,2009-08-02 11:33:00,2009-07-26 09:33:00,2009-07-26 11:33:00,3,mañana,True,FINAL_CAL_POOL_180,pretest,20260801,True,True,True,True,True,True,,1,2ea8c352f733f8f7541e4578ac945fbc4b4ce8aa87b184b54c6152614bfa9fa5
D120_006_DAILY,D120_006,DAILY,1440,120,2009-06-30 23:37:00,2009-07-01 01:37:00,2009-06-29 23:37:00,2009-06-30 01:37:00,2,noche,False,FINAL_CAL_POOL_180,pretest,20260801,True,True,True,True,True,True,,1,2ea8c352f733f8f7541e4578ac945fbc4b4ce8aa87b184b54c6152614bfa9fa5
D120_006_WEEKLY,D120_006,WEEKLY,10080,120,2009-06-30 23:37:00,2009-07-01 01:37:00,2009-06-23 23:37:00,2009-06-24 01:37:00,2,noche,False,FINAL_CAL_POOL_180,pretest,20260801,True,True,True,True,True,True,,1,2ea8c352f733f8f7541e4578ac945fbc4b4ce8aa87b184b54c6152614bfa9fa5
D120_007_DAILY,D120_007,DAILY,1440,120,2009-09-19 01:56:00,2009-09-19 03:56:00,2009-09-18 01:56:00,2009-09-18 03:56:00,3,madrugada,True,FINAL_CAL_POOL_180,pretest,20260801,True,True,True,True,True,True,,1,2ea8c352f733f8f7541e4578ac945fbc4b4ce8aa87b184b54c6152614bfa9fa5
D120_007_WEEKLY,D120_007,WEEKLY,10080,120,2009-09-19 01:56:00,2009-09-19 03:56:00,2009-09-12 01:56:00,2009-09-12 03:56:00,3,madrugada,True,FINAL_CAL_POOL_180,pretest,20260801,True,True,True,True,True,True,,1,2ea8c352f733f8f7541e4578ac945fbc4b4ce8aa87b184b54c6152614bfa9fa5
D120_008_DAILY,D120_008,DAILY,1440,120,2009-12-12 11:13:00,2009-12-12 13:13:00,2009-12-11 11:13:00,2009-12-11 13:13:00,4,mañana,True,FINAL_CAL_POOL_180,pretest,20260801,True,True,True,True,True,True,,1,2ea8c352f733f8f7541e4578ac945fbc4b4ce8aa87b184b54c6152614bfa9fa5
D120_008_WEEKLY,D120_008,WEEKLY,10080,120,2009-12-12 11:13:00,2009-12-12 13:13:00,2009-12-05 11:13:00,2009-12-05 13:13:00,4,mañana,True,FINAL_CAL_POOL_180,pretest,20260801,True,True,True,True,True,True,,1,2ea8c352f733f8f7541e4578ac945fbc4b4ce8aa87b184b54c6152614bfa9fa5
D120_009_DAILY,D120_009,DAILY,1440,120,2009-06-29 16:36:00,2009-06-29 18:36:00,2009-06-28 16:36:00,2009-06-28 18:36:00,2,tarde,False,FINAL_CAL_POOL_180,pretest,20260801,True,True,True,True,True,True,,1,2ea8c352f733f8f7541e4578ac945fbc4b4ce8aa87b184b54c6152614bfa9fa5
